SAMN10030725	Trachypithecus_melamera
SAMN09935392	Trachypithecus_leucocephalus
SAMN09935380	Trachypithecus_hatinhensis
SAMN09935379	Trachypithecus_germaini
SAMN07678091	Indri_indri
SAMN07678100	Nycticebus_coucang
SAMN07503430	Macaca_nigra
SAMN07503429	Macaca_tonkeana
SAMN07503410	Macaca_nemestrina
SAMN04316321	Macaca_assamensis
SAMN04316319	Macaca_arctoides
SAMN03275524	Callithrix_jacchus
SAMN03275523	Callithrix_geoffroyi
SAMN03275522	Callithrix_kuhlii
SAMN03121842	Macaca_nemestrina
SAMN02922340	Macaca_nemestrina
SAMN02922336	Macaca_nemestrina
SAMN02922335	Macaca_nemestrina
SAMN03121813	Mandrillus_leucophaeus
SAMN03121814	Colobus_angolensis
SAMN02786331	Rhinopithecus_bieti_palliatus
SAMN02390221	Macaca_thibetana
SAMEA80831668	Nomascus_leucogenys
SAMD00215312	Macaca_cyclopis
SAMD00215311	Macaca_fuscata
SAMN01920473	Gorilla_beringei_graueri
SAMN01920474	Gorilla_beringei_graueri
SAMN01920475	Gorilla_beringei_graueri
SAMN01920476	Gorilla_gorilla
SAMN01920477	Gorilla_gorilla
SAMN01920478	Gorilla_gorilla
SAMN01920479	Gorilla_gorilla
SAMN01920480	Gorilla_gorilla
SAMN01920481	Gorilla_gorilla
SAMN01920482	Gorilla_gorilla
SAMN01920483	Gorilla_gorilla
SAMN01920484	Gorilla_gorilla
SAMN01920485	Gorilla_gorilla
SAMN01920486	Gorilla_gorilla
SAMN01920487	Gorilla_gorilla
SAMN01920488	Gorilla_gorilla
SAMN01920489	Gorilla_gorilla
SAMN01920490	Gorilla_gorilla
SAMN01920491	Gorilla_gorilla
SAMN01920492	Gorilla_gorilla
SAMN01920493	Gorilla_gorilla
SAMN01920494	Gorilla_gorilla
SAMN01920495	Gorilla_gorilla
SAMN01920496	Gorilla_gorilla
SAMN01920497	Gorilla_gorilla
SAMN01920498	Gorilla_gorilla
SAMN01920499	Gorilla_gorilla
SAMN01920500	Gorilla_gorilla
SAMN01920501	Gorilla_gorilla
